V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
-26067, 16145, 9920, -26080, 16013, 10066, -146.691406 
-6500, 20522, -14023, -6621, 20546, -13925, -97.385742 
-24089, 32671, -8583, -24231, 32612, -8381, -201.960938 
-31242, 23595, 7644, -31298, 23458, 7839, -195.795898 
-21222, 23815, -2596, -21315, 23750, -2434, -161.208496 
-9246, 6133, 3111, -9256, 6090, 3166, -55.426270 
-20184, 26465, -6282, -20303, 26420, -6117, -164.696777 
-14453, 16730, -2279, -14522, 16690, -2168, -110.847656 
-23566, 15858, 7706, -23601, 15752, 7848, -142.680664 
-20392, 20406, -15, -20470, 20340, 129, -144.667114 
-29831, 35447, -5617, -29985, 35372, -5387, -229.665039 
-30477, 23124, 7351, -30545, 23001, 7544, -193.375488 
-2386, 25414, -23029, -2558, 25499, -22940, -88.093750 
-3333, 27994, -24663, -3519, 28086, -24566, -96.125000 
-11371, 31238, -19868, -11558, 31288, -19729, -138.164062 
-8926, 26980, -18056, -9089, 27029, -17939, -116.134766 
-8437, 4533, 3903, -8444, 4493, 3951, -48.224121 
-26315, 12884, 13430, -26332, 12755, 13577, -147.633789 
-18053, 14104, 3948, -18103, 14041, 4062, -114.654785 
-18889, 26065, -7176, -19021, 26048, -7027, -148.794434 
-5109, 13842, -8734, -5191, 13869, -8677, -56.267578 
-5486, 19290, -13805, -5605, 19339, -13734, -70.944336 
-6890, 4205, 2684, -6901, 4176, 2725, -41.171143 
-22208, 15561, 6645, -22264, 15481, 6782, -137.483887 
-13554, 25595, -12042, -13699, 25621, -11922, -119.783203 
-15668, 20435, -4768, -15773, 20425, -4652, -115.985840 
-28557, 13791, 14764, -28590, 13663, 14927, -163.370117 
-7709, 29043, -21335, -7889, 29128, -21238, -96.300781 
-8002, 7756, 245, -8038, 7740, 298, -53.383270 
-19633, 29847, -10215, -19794, 29860, -10065, -149.887695 
-24583, 30465, -5884, -24741, 30452, -5711, -172.719727 
-20381, 16486, 3893, -20454, 16433, 4021, -128.663086 
-19982, 18524, 1456, -20070, 18483, 1586, -130.059937 
-29514, 7071, 22440, -29513, 6914, 22598, -158.585938 
-24041, 17264, 6774, -24115, 17194, 6921, -147.163086 
-15000, 21217, -6220, -15114, 21229, -6115, -104.908691 
-25639, 10925, 14711, -25673, 10817, 14856, -145.087891 
-21054, 13977, 7075, -21114, 13914, 7200, -125.388672 
-18180, 8786, 9393, -18213, 8717, 9496, -103.409180 
-30128, 28667, 1460, -30272, 28624, 1647, -187.465698 
-18462, 32929, -14467, -18646, 32985, -14338, -128.510742 
-28360, 19481, 8879, -28451, 19406, 9044, -165.899414 
-11222, 5091, 6130, -11241, 5048, 6193, -63.086914 
-16953, 11430, 5522, -17008, 11387, 5620, -98.373047 
-9071, 7465, 1605, -9108, 7449, 1659, -54.087769 
-14936, 10846, 4089, -14989, 10815, 4174, -85.500977 
-25324, 19951, 5371, -25425, 19907, 5517, -146.611816 
