V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
921, -2359, 1437, 935, -2362, 1427, 9.921997 
14487, -26766, 12277, 14636, -26783, 12146, 130.733398 
7858, -17159, 9300, 7957, -17179, 9222, 77.864258 
6886, -26886, 19998, 7055, -26955, 19899, 98.117188 
33913, -21599, -12315, 33983, -21463, -12520, 205.009766 
18339, -17524, -816, 18417, -17477, -940, 124.345764 
33266, -30730, -2537, 33404, -30646, -2757, 220.655029 
23123, -31517, 8393, 23288, -31506, 8217, 175.255859 
27753, -16097, -11658, 27803, -15982, -11821, 163.216797 
21636, -19689, -1950, 21726, -19634, -2092, 142.070801 
29749, -32543, 2792, 29910, -32495, 2585, 206.590820 
8000, -29802, 21802, 8184, -29893, 21708, 93.556641 
21126, -18316, -2811, 21210, -18263, -2947, 136.433105 
23212, -31396, 8183, 23380, -31392, 8012, 170.564453 
17631, -31262, 13631, 17808, -31300, 13492, 138.724609 
17443, -11703, -5741, 17491, -11645, -5846, 105.067383 
12402, -10726, -1677, 12453, -10699, -1754, 77.165771 
20085, -15274, -4813, 20155, -15220, -4935, 122.080078 
36907, -35907, -1001, 37086, -35848, -1237, 236.484131 
16445, -27584, 11137, 16600, -27618, 11018, 118.950195 
20262, -10950, -9314, 20306, -10875, -9430, 116.705078 
23398, -16848, -6551, 23477, -16787, -6690, 139.398438 
34387, -32830, -1559, 34554, -32782, -1772, 213.371582 
32911, -15430, -17482, 32971, -15302, -17668, 186.619141 
17992, -27025, 9032, 18141, -27054, 8913, 118.414062 
34814, -26039, -8776, 34941, -25960, -8981, 205.588867 
37991, -28900, -9094, 38136, -28820, -9315, 221.573242 
37996, -24027, -13972, 38111, -23922, -14189, 217.729492 
28515, -30670, 2154, 28678, -30663, 1985, 168.777100 
10967, -9250, -1718, 11015, -9233, -1781, 63.476807 
35404, -24677, -10729, 35528, -24597, -10930, 201.539062 
6551, -13322, 6770, 6625, -13354, 6729, 40.528809 
20271, -7573, -12700, 20305, -7495, -12810, 110.657227 
31518, -27655, -3863, 31664, -27624, -4040, 177.223633 
10168, -2267, -7902, 10178, -2221, -7956, 54.643066 
20243, -1468, -18777, 20246, -1360, -18885, 108.851562 
24767, -6481, -18287, 24800, -6379, -18420, 133.234375 
30840, -14294, -16547, 30914, -14200, -16713, 166.658203 
19915, -3624, -16292, 19935, -3536, -16398, 106.339844 
17019, -19288, 2268, 17122, -19300, 2177, 90.354004 
14139, -10693, -3448, 14196, -10673, -3522, 74.788818 
13280, -15434, 2152, 13362, -15446, 2084, 67.422363 
17122, -27961, 10837, 17269, -28021, 10751, 85.305664 
23511, -29094, 5582, 23665, -29131, 5466, 115.876953 
11431, -15098, 3666, 11510, -15120, 3610, 55.949951 
24533, -3987, -20548, 24561, -3884, -20677, 129.197266 
42564, -27590, -14976, 42718, -27529, -15188, 212.539062 
14806, -1159, -13650, 14819, -1092, -13727, 77.033203 
5091, -2494, -2599, 5106, -2482, -2623, 24.956543 
11024, -13336, 2311, 11092, -13353, 2261, 49.927979 
17404, -27559, 10154, 17543, -27621, 10078, 75.624023 
29991, -18105, -11888, 30094, -18063, -12031, 143.194336 
29583, -29989, 405, 29739, -30011, 272, 132.606934 
26344, -10187, -16158, 26411, -10125, -16285, 127.934570 
9780, -823, -8959, 9792, -783, -9008, 49.687500 
25335, -14319, -11017, 25418, -14283, -11135, 118.846680 
25259, -13563, -11698, 25340, -13526, -11813, 115.541016 
27711, -721, -26991, 27741, -608, -27132, 141.365234 
33220, -14162, -19060, 33313, -14101, -19212, 152.072266 
42613, -23414, -19201, 42752, -23362, -19390, 189.488281 
28588, -4626, -23964, 28638, -4535, -24103, 139.191406 
31699, -11717, -19984, 31781, -11653, -20128, 144.406250 
31402, -8188, -23216, 31470, -8108, -23362, 146.603516 
18996, -23118, 4121, 19105, -23162, 4057, 63.992920 
24006, -22077, -1930, 24117, -22097, -2020, 90.193726 
12137, -7613, -4525, 12180, -7607, -4573, 48.118164 
39812, -21285, -18528, 39939, -21249, -18690, 162.083984 
22716, -5197, -17521, 22765, -5142, -17622, 101.316406 
26034, -21111, -4924, 26141, -21124, -5017, 93.103516 
33434, -6641, -26794, 33504, -6562, -26941, 147.974609 
18804, -7358, -11448, 18855, -7332, -11522, 74.686523 
34652, -10358, -24295, 34737, -10298, -24439, 144.179688 
21559, -12256, -9305, 21630, -12244, -9385, 80.494141 
20528, -9513, -11016, 20588, -9495, -11092, 76.548828 
26063, -24063, -2001, 26174, -24094, -2079, 78.862061 
35614, -6610, -29007, 35691, -6539, -29152, 145.248047 
28855, -13902, -14954, 28940, -13882, -15057, 103.703125 
22398, -14864, -7535, 22475, -14866, -7608, 73.917969 
12347, -3605, -8744, 12378, -3587, -8790, 46.781250 
30563, -2073, -28491, 30619, -2001, -28618, 127.531250 
36852, -9206, -27648, 36938, -9154, -27784, 136.078125 
23374, -5170, -18205, 23427, -5134, -18292, 87.519531 
27603, -23440, -4165, 27707, -23469, -4237, 72.832520 
16951, 5306, -22259, 16969, 5366, -22335, 76.703125 
25805, -16844, -8962, 25888, -16852, -9035, 73.947266 
10556, -1415, -9143, 10578, -1397, -9181, 38.485352 
11474, 2500, -13975, 11489, 2534, -14024, 49.158203 
2126, -645, -1482, 2131, -642, -1488, 6.341675 
6077, -3944, -2134, 6095, -3946, -2149, 15.231201 
14709, -13350, -1360, 14761, -13369, -1391, 31.111328 
28814, -4518, -24297, 28873, -4482, -24391, 94.091797 
26537, -20809, -5729, 26621, -20835, -5785, 56.886719 
9780, 789, -10571, 9796, 809, -10606, 35.163086 
32312, -7792, -24521, 32383, -7765, -24617, 96.505859 
31229, -2238, -28992, 31289, -2195, -29094, 102.138672 
20491, 4736, -25229, 20521, 4782, -25303, 74.396484 
29917, 472, -30390, 29969, 518, -30488, 98.050781 
26800, 4923, -31726, 26841, 4975, -31816, 90.839844 
19175, 162, -19339, 19209, 189, -19398, 59.623047 
19531, -6022, -13511, 19573, -6013, -13560, 49.186523 
33136, -7558, -25579, 33202, -7539, -25663, 84.339844 
28452, -11572, -16882, 28515, -11570, -16944, 62.988281 
8484, 11010, -19496, 8487, 11050, -19537, 41.363281 
24529, -195, -24336, 24571, -168, -24402, 66.439453 
26772, -14854, -11920, 26833, -14866, -11967, 47.688477 
11903, 9690, -21595, 11913, 9727, -21640, 45.753906 
7876, 7810, -15688, 7881, 7838, -15719, 31.872070 
33462, -5567, -27897, 33519, -5551, -27968, 71.300781 
9186, 943, -10130, 9199, 953, -10153, 23.490234 
12939, 6172, -19113, 12954, 6198, -19152, 39.923828 
33814, -6298, -27517, 33869, -6286, -27583, 66.347656 
9635, 19097, -28734, 9635, 19148, -28783, 49.916016 
28820, 1368, -30190, 28861, 1388, -30250, 60.160156 
20349, 7497, -27847, 20373, 7525, -27898, 51.632812 
7619, 17646, -25267, 7619, 17687, -25307, 40.132812 
28082, 6569, -34653, 28117, 6596, -34714, 61.000000 
31968, -10303, -21666, 32016, -10305, -21711, 45.632812 
16583, 3654, -20239, 16602, 3668, -20271, 32.437500 
31500, 3850, -35352, 31538, 3872, -35411, 59.035156 
22377, 288, -22667, 22405, 299, -22705, 38.410156 
30218, -18876, -11342, 30260, -18893, -11366, 24.284180 
13814, -6237, -7578, 13832, -6240, -7591, 13.392090 
8436, 17772, -26210, 8441, 17799, -26240, 30.306641 
31883, -3995, -27889, 31918, -3990, -27928, 39.289062 
7654, 23357, -31014, 7656, 23391, -31048, 34.587891 
18250, -1830, -16421, 18268, -1827, -16440, 19.611328 
22340, -12651, -9689, 22363, -12660, -9703, 14.121094 
14766, 14229, -28997, 14776, 14247, -29023, 26.990234 
29378, 6337, -35717, 29402, 6350, -35752, 35.656250 
16104, -6241, -9864, 16116, -6243, -9872, 8.942383 
32399, 4416, -36818, 32422, 4425, -36847, 29.847656 
10038, -2745, -7295, 10046, -2745, -7301, 6.149414 
18898, -2729, -16170, 18910, -2728, -16181, 11.389648 
2968, 10222, -13191, 2969, 10229, -13198, 7.960938 
7492, 19957, -27451, 7494, 19968, -27462, 11.902344 
8879, 17566, -26446, 8882, 17575, -26457, 11.835938 
11797, 21435, -33234, 11802, 21446, -33249, 15.062500 
8224, 2003, -10228, 8226, 2004, -10231, 3.364258 
27373, -7980, -19395, 27382, -7981, -19400, 5.857422 
26112, -8753, -17361, 26117, -8753, -17363, 2.750000 
12001, 17571, -29574, 12003, 17575, -29578, 4.828125 
11156, 12656, -23814, 11158, 12658, -23817, 3.166016 
