I_d, I_q, I_d_f, I_q_f, errId, errIq 
604, -991, 598.724304, -991.803345, 5.275696, 0.803345 
597, -1013, 591.850464, -1012.386108, 5.149536, -0.613892 
610, -1018, 604.587280, -1018.003113, 5.412720, 0.003113 
588, -1038, 582.584839, -1038.403564, 5.415161, 0.403564 
592, -1045, 585.846802, -1044.217773, 6.153198, -0.782227 
594, -1050, 589.108765, -1050.031982, 4.891235, 0.031982 
572, -1070, 565.865601, -1069.530884, 6.134399, -0.469116 
574, -1075, 568.983276, -1075.423584, 5.016724, 0.423584 
550, -1094, 544.989441, -1094.486328, 5.010559, 0.486328 
553, -1099, 547.663879, -1099.857422, 5.336121, 0.857422 
556, -1105, 550.338257, -1105.228271, 5.661743, 0.228271 
532, -1123, 525.200256, -1123.282959, 6.799744, 0.282959 
534, -1129, 527.741577, -1128.718262, 6.258423, -0.281738 
508, -1146, 501.911621, -1146.263428, 6.088379, 0.263428 
510, -1151, 504.050873, -1151.148926, 5.949127, 0.148926 
512, -1157, 506.190063, -1156.034424, 5.809937, -0.965576 
486, -1173, 479.572998, -1173.091553, 6.427002, 0.091553 
488, -1178, 481.338928, -1177.411133, 6.661072, -0.588867 
461, -1194, 454.080139, -1193.897705, 6.919861, -0.102295 
462, -1198, 455.739105, -1198.259521, 6.260895, 0.259521 
464, -1202, 457.398071, -1202.621338, 6.601929, 0.621338 
436, -1217, 428.959229, -1217.298096, 7.040771, 0.298096 
437, -1222, 430.510223, -1221.699463, 6.489777, -0.300537 
408, -1235, 401.516083, -1235.739502, 6.483917, 0.739502 
409, -1241, 402.958130, -1240.177734, 6.041870, -0.822266 
410, -1243, 404.194214, -1243.981934, 5.805786, 0.981934 
381, -1257, 374.374573, -1256.757324, 6.625427, -0.242676 
382, -1261, 375.516541, -1260.590820, 6.483459, -0.409180 
352, -1273, 345.217590, -1272.677002, 6.782410, -0.322998 
353, -1275, 346.090210, -1275.894043, 6.909790, 0.894043 
354, -1279, 346.962860, -1279.111084, 7.037140, 0.111084 
324, -1290, 316.136444, -1290.508789, 7.863556, 0.508789 
324, -1294, 316.929565, -1293.746338, 7.070435, -0.253662 
293, -1303, 285.529358, -1303.766846, 7.470642, 0.766846 
293, -1306, 286.099854, -1306.371826, 6.900146, 0.371826 
261, -1315, 254.333435, -1315.642334, 6.666565, 0.642334 
262, -1318, 254.839569, -1318.260498, 7.160431, 0.260498 
262, -1321, 255.345703, -1320.878662, 6.654297, -0.121338 
230, -1329, 223.056213, -1328.741211, 6.943787, -0.258789 
230, -1331, 223.387314, -1330.713623, 6.612686, -0.286377 
198, -1338, 190.816650, -1337.793335, 7.183350, -0.206665 
198, -1339, 191.099060, -1339.773193, 6.900940, 0.773193 
198, -1342, 191.381470, -1341.753174, 6.618530, -0.246826 
