I_d, I_q, I_d_f, I_q_f, errId, errIq 
-405, -825, -407.056274, -821.261841, 2.056274, -3.738159 
-386, -821, -387.821899, -816.860596, 1.821899, -4.139404 
-366, -817, -368.587463, -812.459473, 2.587463, -4.540527 
-366, -803, -369.155579, -799.205750, 3.155579, -3.794250 
-347, -799, -349.818573, -795.279907, 2.818573, -3.720093 
-347, -786, -349.878235, -782.971436, 2.878235, -3.028564 
-329, -782, -330.632843, -778.881958, 1.632843, -3.118042 
-327, -770, -330.215302, -767.530884, 3.215302, -2.469116 
-307, -767, -310.232635, -764.095215, 3.232635, -2.904785 
-287, -763, -290.250000, -760.659607, 3.250000, -2.340393 
-287, -753, -289.479126, -750.141052, 2.479126, -2.858948 
-267, -750, -269.417908, -747.198730, 2.417908, -2.801270 
-266, -741, -268.250427, -737.677185, 2.250427, -3.322815 
-246, -738, -248.122742, -735.229980, 2.122742, -2.770020 
-226, -734, -228.129669, -732.129883, 2.129669, -1.870117 
-223, -726, -226.543152, -724.111328, 3.543152, -1.888672 
-203, -723, -206.479782, -721.504822, 3.479782, -1.495178 
-201, -715, -204.071762, -714.087158, 3.071762, -0.912842 
-181, -714, -183.950226, -711.975769, 2.950226, -2.024231 
-161, -711, -163.828735, -709.864258, 2.828735, -1.135742 
-158, -705, -160.571411, -703.592285, 2.571411, -1.407715 
-138, -703, -140.403992, -701.977234, 2.403992, -1.022766 
-134, -698, -136.916000, -696.795410, 2.916000, -1.204590 
-114, -697, -116.714905, -695.677673, 2.714905, -1.322327 
-94, -695, -96.583496, -693.896973, 2.583496, -1.103027 
-90, -691, -92.878777, -690.308594, 2.878777, -0.691406 
-70, -690, -72.709610, -689.024414, 2.709610, -0.975586 
-66, -687, -69.468765, -686.237000, 3.468765, -0.763000 
-46, -686, -49.274078, -685.450134, 3.274078, -0.549866 
-25, -685, -27.926479, -684.599304, 2.926479, -0.400696 
-22, -683, -24.576942, -683.414307, 2.576942, 0.414307 
-2, -682, -4.389505, -682.458862, 2.389505, 0.458862 
2, -682, -0.992748, -682.352417, 2.992748, 0.352417 
24, -682, 19.791466, -682.224426, 4.208534, 0.224426 
44, -682, 40.575676, -682.096375, 3.424324, 0.096375 
48, -682, 43.968166, -682.929077, 4.031834, 0.929077 
68, -682, 64.178116, -682.969238, 3.821884, 0.969238 
72, -685, 68.097183, -685.239014, 3.902817, 0.239014 
92, -685, 88.300064, -685.777100, 3.699936, 0.777100 
112, -685, 109.094078, -686.007019, 2.905922, 1.007019 
116, -689, 112.342865, -689.522217, 3.657135, 0.522217 
137, -689, 133.124908, -690.264343, 3.875092, 1.264343 
140, -694, 136.229874, -694.867371, 3.770126, 0.867371 
160, -694, 156.443176, -695.736084, 3.556824, 1.736084 
164, -699, 159.974686, -701.144226, 4.025314, 2.144226 
184, -701, 180.160446, -702.510742, 3.839554, 1.510742 
204, -702, 200.346283, -703.877197, 3.653717, 1.877197 
206, -709, 203.089584, -710.463013, 2.910416, 1.463013 
226, -710, 223.235596, -712.326416, 2.764404, 2.326416 
229, -718, 225.712509, -719.969238, 3.287491, 1.969238 
249, -721, 245.806458, -722.328369, 3.193542, 1.328369 
269, -722, 265.386230, -724.263306, 3.613770, 2.263306 
272, -731, 268.121460, -733.217712, 3.878540, 2.217712 
290, -733, 287.647614, -735.634399, 2.352386, 2.634399 
293, -742, 289.531982, -745.192993, 3.468018, 3.192993 
312, -745, 308.992676, -748.090027, 3.007324, 3.090027 
332, -747, 329.088654, -750.784912, 2.911346, 3.784912 
333, -759, 329.874634, -762.040527, 3.125366, 3.040527 
353, -762, 349.898163, -765.229736, 3.101837, 3.229736 
353, -774, 350.407349, -776.826904, 2.592651, 2.826904 
373, -777, 369.876282, -780.035645, 3.123718, 3.035645 
393, -781, 389.815125, -783.717224, 3.184875, 2.717224 
393, -793, 389.771790, -796.770752, 3.228210, 3.770752 
412, -797, 408.697510, -799.973999, 3.302490, 2.973999 
410, -810, 408.151611, -813.964111, 1.848389, 3.964111 
430, -814, 427.438812, -818.128052, 2.561188, 4.128052 
449, -818, 446.279907, -821.796509, 2.720093, 3.796509 
448, -833, 444.642761, -836.673523, 3.357239, 3.673523 
466, -837, 463.821503, -841.311279, 2.178497, 4.311279 
464, -853, 461.590393, -857.075439, 2.409607, 4.075439 
484, -857, 480.464905, -861.044434, 3.535095, 4.044434 
502, -861, 499.102417, -865.636597, 2.897583, 4.636597 
498, -878, 495.734070, -882.193298, 2.265930, 4.193298 
517, -882, 514.913330, -887.153076, 2.086670, 5.153076 
513, -899, 510.893280, -904.537781, 2.106720, 5.537781 
532, -905, 528.886841, -909.505371, 3.113159, 4.505371 
528, -923, 524.848145, -927.611938, 3.151855, 4.611938 
545, -927, 542.331909, -932.474976, 2.668091, 5.474976 
564, -933, 560.861816, -937.827026, 3.138184, 4.827026 
557, -951, 554.944458, -956.652832, 2.055542, 5.652832 
574, -957, 572.303162, -961.945190, 1.696838, 4.945190 
569, -977, 566.319214, -981.446716, 2.680786, 4.446716 
586, -982, 583.542236, -987.165039, 2.457764, 5.165039 
604, -987, 601.431519, -992.858765, 2.568481, 5.858765 
596, -1007, 593.524292, -1012.942627, 2.475708, 5.942627 
608, -1013, 604.927917, -1018.576111, 3.072083, 5.576111 
585, -1034, 582.911011, -1038.985107, 2.088989, 4.985107 
589, -1039, 586.172974, -1044.799316, 2.827026, 5.799316 
592, -1045, 589.434875, -1050.613403, 2.565125, 5.613403 
569, -1065, 566.177368, -1070.120117, 2.822632, 5.120117 
572, -1070, 569.295044, -1076.012939, 2.704956, 6.012939 
548, -1090, 545.286316, -1095.083252, 2.713684, 5.083252 
550, -1095, 547.960693, -1100.454346, 2.039307, 5.454346 
553, -1101, 550.635132, -1105.825195, 2.364868, 4.825195 
528, -1118, 525.482056, -1123.887207, 2.517944, 5.887207 
530, -1123, 528.023315, -1129.322510, 1.976685, 6.322510 
505, -1142, 502.178436, -1146.874390, 2.821564, 4.874390 
506, -1146, 504.317688, -1151.759888, 1.682312, 5.759888 
509, -1151, 506.456879, -1156.645386, 2.543121, 5.645386 
482, -1169, 479.825531, -1173.708496, 2.174469, 4.708496 
484, -1173, 481.591431, -1178.028198, 2.408569, 5.028198 
457, -1189, 454.317444, -1194.520752, 2.682556, 5.520752 
458, -1194, 455.976410, -1198.882568, 2.023590, 4.882568 
460, -1198, 457.635345, -1203.244385, 2.364655, 5.244385 
432, -1213, 429.180786, -1217.926758, 2.819214, 4.926758 
433, -1217, 430.731781, -1222.328247, 2.268219, 5.328247 
404, -1231, 401.721924, -1236.373657, 2.278076, 5.373657 
405, -1235, 402.957977, -1240.177856, 2.042023, 5.177856 
406, -1239, 404.194061, -1243.982056, 1.805939, 4.982056 
377, -1253, 374.564636, -1257.396240, 2.435364, 4.396240 
378, -1257, 375.706604, -1261.229858, 2.293396, 4.229858 
348, -1269, 345.391541, -1273.320557, 2.608459, 4.320557 
348, -1271, 346.264160, -1276.537598, 1.735840, 5.537598 
317, -1283, 315.501953, -1287.918701, 1.498047, 4.918701 
318, -1286, 316.295074, -1291.156250, 1.704926, 5.156250 
318, -1289, 316.929565, -1293.746338, 1.070435, 4.746338 
288, -1299, 285.672302, -1304.418091, 2.327698, 5.418091 
288, -1302, 286.242767, -1307.022949, 1.757233, 5.022949 
256, -1311, 254.460129, -1316.296875, 1.539871, 5.296875 
257, -1314, 254.966278, -1318.915039, 2.033722, 4.915039 
257, -1317, 255.345871, -1320.878662, 1.654129, 3.878662 
225, -1325, 223.056183, -1328.741211, 1.943817, 3.741211 
225, -1327, 223.497650, -1331.371094, 1.502350, 4.371094 
193, -1334, 190.910461, -1338.453369, 2.089539, 4.453369 
193, -1335, 191.098740, -1339.773315, 1.901260, 4.773315 
193, -1337, 191.381149, -1341.753296, 1.618851, 4.753296 
160, -1343, 158.421204, -1347.385376, 1.578796, 4.385376 
160, -1345, 158.576904, -1348.709473, 1.423096, 3.709473 
126, -1349, 125.422836, -1353.534790, 0.577164, 4.534790 
126, -1350, 125.545860, -1354.862427, 0.454140, 4.862427 
128, -1351, 125.668884, -1356.190063, 2.331116, 5.190063 
93, -1355, 92.263260, -1359.539551, 0.736740, 4.539551 
94, -1357, 92.308395, -1360.204712, 1.691605, 3.204712 
60, -1359, 58.797607, -1362.732178, 1.202393, 3.732178 
60, -1359, 58.826347, -1363.398193, 1.173653, 4.398193 
60, -1359, 58.826347, -1363.398193, 1.173653, 4.398193 
26, -1361, 25.217663, -1364.433594, 0.782337, 3.433594 
26, -1361, 25.217663, -1364.433594, 0.782337, 3.433594 
-7, -1361, -8.406351, -1364.640747, 1.406351, 3.640747 
-7, -1361, -8.406351, -1364.640747, 1.406351, 3.640747 
-7, -1361, -8.406351, -1364.640747, 1.406351, 3.640747 
-41, -1359, -42.004745, -1363.353027, 1.004745, 4.353027 
-41, -1359, -41.984219, -1362.686768, 0.984219, 3.686768 
-75, -1357, -75.507874, -1360.572998, 0.507874, 3.572998 
-75, -1355, -75.433990, -1359.241821, 0.433990, 4.241821 
-109, -1353, -108.846207, -1356.306152, -0.153793, 3.306152 
-109, -1351, -108.739548, -1354.977051, -0.260452, 3.977051 
-109, -1350, -108.632889, -1353.648071, -0.367111, 3.648071 
-142, -1346, -141.810486, -1349.234619, -0.189514, 3.234619 
-141, -1345, -141.671112, -1347.908691, 0.671112, 2.908691 
-174, -1339, -174.578674, -1342.025879, 0.578674, 3.025879 
-174, -1337, -174.320679, -1340.042480, 0.320679, 3.042480 
-174, -1335, -174.062683, -1338.059326, 0.062683, 3.059326 
-206, -1329, -206.669662, -1331.388428, 0.669662, 2.388428 
-206, -1327, -206.362885, -1329.411987, 0.362885, 2.411987 
-238, -1319, -238.579895, -1321.299805, 0.579895, 2.299805 
-238, -1317, -238.106064, -1318.675659, 0.106064, 1.675659 
-238, -1314, -237.632233, -1316.051392, -0.367767, 2.051392 
-270, -1305, -269.446075, -1307.185547, -0.553925, 2.185547 
-269, -1302, -268.907715, -1304.573730, -0.092285, 2.573730 
-301, -1293, -300.214478, -1294.305420, -0.785522, 1.305420 
-299, -1290, -299.611938, -1291.707764, 0.611938, 1.707764 
-299, -1286, -298.858765, -1288.460571, -0.141235, 2.460571 
-330, -1275, -329.513062, -1276.833252, -0.486938, 1.833252 
-329, -1271, -328.680115, -1273.605591, -0.319885, 2.605591 
-359, -1259, -358.863647, -1261.274048, -0.136353, 2.274048 
-358, -1257, -357.951477, -1258.067871, -0.048523, 1.067871 
-357, -1253, -356.856812, -1254.220703, -0.143188, 1.220703 
-387, -1239, -386.459778, -1241.228760, -0.540222, 2.228760 
-386, -1235, -385.072479, -1236.773193, -0.927521, 1.773193 
-414, -1222, -414.143860, -1223.121704, 0.143860, 1.121704 
-413, -1217, -412.647186, -1218.701538, -0.352814, 1.701538 
-411, -1213, -411.150513, -1214.281372, 0.150513, 1.281372 
-439, -1198, -439.337616, -1199.401123, 0.337616, 1.401123 
-438, -1194, -437.732513, -1195.019043, -0.267487, 1.019043 
-466, -1178, -465.084808, -1178.910645, -0.915192, 0.910645 
-463, -1173, -463.127563, -1173.949341, 0.127563, 0.949341 
-490, -1157, -489.831421, -1157.271118, -0.168579, 0.271118 
-489, -1151, -487.752563, -1152.359619, -1.247437, 1.359619 
-486, -1146, -485.673706, -1147.448120, -0.326294, 1.448120 
-513, -1130, -511.596863, -1130.275391, -1.403137, 0.275391 
-510, -1125, -509.122742, -1124.809326, -0.877258, -0.190674 
-535, -1106, -534.072754, -1106.520752, -0.927246, 0.520752 
-533, -1101, -531.464661, -1101.117188, -1.535339, 0.117188 
-530, -1095, -528.856567, -1095.713745, -1.143433, 0.713745 
-554, -1077, -552.950867, -1077.013916, -1.049133, 0.013916 
-551, -1071, -549.906006, -1071.083252, -1.093994, 0.083252 
-574, -1051, -572.937927, -1051.355957, -1.062073, 0.355957 
-571, -1045, -569.747803, -1045.502075, -1.252197, 0.502075 
-567, -1039, -566.557739, -1039.648193, -0.442261, 0.648193 
